Index	e_above_hull	Sn_fraction
gen-2-82	0.092373	0.363636
gen-2-83	0.033857	0.133333
gen-2-84	0.046208	0.666667
gen-2-85	0.060220	0.700000
gen-2-86	0.032718	0.200000
gen-2-87	0.063345	0.055556
gen-2-88	0.011388	0.750000
gen-2-89	0.064207	0.277778
gen-2-90	0.117439	0.272727
gen-2-91	0.095911	0.611111
gen-2-92	0.055013	0.200000
gen-2-93	0.020547	0.333333
gen-2-94	0.016736	0.363636
gen-2-95	0.042980	0.600000
gen-2-96	0.093175	0.500000
gen-2-97	0.125030	0.500000
gen-2-98	0.033689	0.722222
gen-2-99	0.019122	0.611111
gen-2-100	0.073764	0.500000
gen-2-101	0.052479	0.421053
gen-2-102	0.033128	0.210526
gen-2-103	0.028917	0.375000
gen-2-104	0.158322	0.333333
gen-2-105	0.061225	0.500000
gen-2-106	0.102031	0.388889
gen-2-107	0.050763	0.578947
gen-2-108	0.050307	0.300000
gen-2-109	0.116627	0.300000
gen-2-110	0.040589	0.333333
gen-2-111	0.085090	0.800000
gen-2-112	0.000017	0.500000
gen-2-113	0.009300	0.615385
gen-2-114	0.012311	0.333333
gen-2-115	0.075221	0.571429
gen-2-116	0.158450	0.600000
gen-2-117	0.080620	0.800000
gen-2-118	0.070421	0.642857
gen-2-119	0.044269	0.333333
gen-2-120	0.105304	0.388889
gen-2-121	0.020414	0.352941
gen-2-122	0.128806	0.250000
gen-2-123	0.045381	0.562500
gen-2-124	0.083520	0.600000
gen-2-125	0.074727	0.300000
gen-2-126	0.075438	0.500000
gen-2-127	0.136140	0.200000
gen-2-128	0.010089	0.333333
gen-2-129	0.008331	0.000000
gen-2-130	0.026364	0.363636
gen-2-131	0.000200	0.222222
gen-2-132	0.033178	0.333333
gen-2-133	0.000006	0.250000
gen-2-134	0.013232	0.450000
gen-2-135	0.080593	0.200000
gen-2-136	0.020480	0.550000
gen-2-137	0.078831	0.562500
gen-2-138	0.029018	0.727273
gen-2-139	0.032507	0.400000
gen-2-140	0.029826	0.187500
gen-2-141	0.011877	0.437500
gen-2-142	0.107853	0.416667
gen-2-143	0.058885	0.650000
gen-2-144	0.049357	0.571429
gen-2-145	0.001778	0.200000
gen-2-146	0.106348	0.181818
gen-2-147	0.039789	0.736842
gen-2-148	0.042400	0.500000
gen-2-149	0.066672	0.500000
gen-2-150	0.014529	0.166667
gen-2-151	0.050083	0.666667
gen-2-152	0.051800	0.333333
gen-2-153	0.118981	0.250000
gen-2-154	0.052619	0.416667
gen-2-155	0.035127	0.545455
gen-2-156	0.099356	0.500000
gen-2-157	0.038333	0.666667
gen-2-158	0.058391	0.266667
gen-2-159	0.038750	0.666667
gen-2-160	0.133767	0.500000
gen-2-161	0.034036	0.285714
gen-2-162	0.039544	0.555556
gen-2-163	0.054610	0.600000
gen-2-164	0.010102	0.333333
gen-2-165	0.023505	0.650000
gen-2-166	0.048050	0.500000
gen-2-167	0.064073	0.400000
gen-2-168	0.011006	0.750000
gen-2-169	0.022750	0.312500
gen-2-170	0.013474	0.444444
gen-2-171	0.123600	0.285714
gen-2-172	0.028191	0.250000
gen-2-173	0.094171	0.285714
gen-2-174	0.014124	0.428571
gen-2-175	0.058865	0.500000
gen-2-176	0.026256	0.333333
gen-2-177	0.038139	0.777778
gen-2-178	0.032833	0.666667
gen-2-179	0.045871	0.466667
gen-2-180	0.051414	0.285714
gen-2-181	0.072373	0.375000
gen-2-182	0.085925	0.250000
gen-2-183	0.055007	0.444444
gen-2-184	0.000056	0.222222
gen-2-185	0.032568	0.684211
gen-2-186	0.071956	0.250000
gen-2-187	0.017397	0.300000
gen-2-188	0.125580	0.600000
gen-2-189	0.071308	0.583333
gen-2-190	0.098883	0.222222
gen-2-191	0.160057	0.571429
gen-2-192	0.050457	0.181818
gen-2-193	0.057000	0.800000
gen-2-194	0.066484	0.181818
gen-2-195	0.056844	0.312500
gen-2-196	0.025589	0.333333
gen-2-197	0.060654	0.388889
gen-2-198	0.061433	0.500000
gen-2-199	0.043180	0.850000
gen-3-0	0.094938	0.428571
gen-3-1	0.058691	0.266667
gen-3-2	0.104375	0.750000
gen-3-3	0.032050	0.500000
gen-3-4	0.034571	0.714286
gen-3-5	0.017090	0.083333
gen-3-6	0.035989	0.421053
gen-3-7	0.013150	0.750000
gen-3-8	0.062456	0.625000
gen-3-9	0.015760	0.428571
gen-3-10	0.118974	0.444444
gen-3-11	0.042125	0.875000
gen-3-12	0.022628	0.777778
gen-3-13	0.067840	0.250000
gen-3-14	0.042033	0.500000
gen-3-15	0.069464	0.333333
gen-3-16	0.053600	0.400000
gen-3-17	0.032600	0.600000
gen-3-18	0.118017	0.333333
gen-3-19	0.051755	0.214286
gen-3-20	0.020639	0.333333
gen-3-21	0.052372	0.222222
gen-3-22	0.046795	0.350000
gen-3-23	0.001773	0.200000
gen-3-24	0.082425	0.750000
gen-3-25	0.064581	0.562500
gen-3-26	0.041894	0.272727
gen-3-27	0.046373	0.400000
gen-3-28	0.072200	0.571429
gen-3-29	0.063339	0.722222
gen-3-30	0.049578	0.222222
gen-3-31	0.007457	0.300000
gen-3-32	0.057200	0.500000
gen-3-33	0.067155	0.727273
gen-3-34	0.043488	0.750000
gen-3-35	0.041167	0.583333
gen-3-36	0.067416	0.250000
gen-3-37	0.036185	0.444444
gen-3-38	0.056540	0.350000
gen-3-39	0.074960	0.700000
gen-3-40	0.083300	0.500000
gen-3-41	0.130486	0.285714
gen-3-42	0.049892	0.583333
gen-3-43	0.089225	0.750000
gen-3-44	0.090457	0.277778
gen-3-45	0.030590	0.600000
gen-3-46	0.016288	0.312500
gen-3-47	0.015726	0.153846
gen-3-48	0.040775	0.625000
gen-3-49	0.049446	0.437500
gen-3-50	0.033800	0.600000
gen-3-51	0.047944	0.750000
gen-3-52	0.047073	0.636364
gen-3-53	0.075970	0.187500
gen-3-54	0.019433	0.400000
gen-3-55	0.047200	0.833333
gen-3-56	0.024188	0.400000
gen-3-57	0.035433	0.666667
gen-3-58	0.094245	0.545455
gen-3-59	0.099525	0.666667
gen-3-60	0.074033	0.307692
gen-3-61	0.000071	0.500000
gen-3-62	0.122581	0.250000
gen-3-63	0.084420	0.800000
gen-3-64	0.083653	0.400000
gen-3-65	0.076329	0.285714
gen-3-66	0.095583	0.583333
gen-3-67	0.082673	0.400000
gen-3-68	0.064575	0.500000
gen-3-69	0.044975	0.687500
gen-3-70	0.086403	0.200000
gen-3-71	0.060763	0.625000
gen-3-72	0.112633	0.500000
gen-3-73	0.061081	0.428571
gen-3-74	0.080480	0.600000
gen-3-75	0.035210	0.375000
gen-3-76	0.096898	0.250000
gen-3-77	0.010133	0.333333
gen-3-78	0.045100	0.666667
gen-3-79	0.103422	0.611111
gen-3-80	0.215750	0.500000
gen-3-81	0.044142	0.142857
gen-3-82	0.076974	0.444444
gen-3-83	0.069506	0.250000
gen-3-84	0.096661	0.333333
gen-3-85	0.007156	0.000000
gen-3-86	0.039443	0.571429
gen-3-87	0.077980	0.600000
gen-3-88	0.066306	0.250000
gen-3-89	0.061981	0.368421
gen-3-90	0.010457	0.166667
gen-3-91	0.081645	0.350000
gen-3-92	0.023889	0.666667
gen-3-93	0.055676	0.250000
gen-3-94	0.017273	0.200000
gen-3-95	0.050250	0.666667
gen-3-96	0.119791	0.444444
gen-3-97	0.093940	0.200000
gen-3-98	0.044082	0.727273
gen-3-99	0.057161	0.611111
gen-3-100	0.050404	0.388889
gen-3-101	0.038250	0.833333
gen-3-102	0.024525	0.687500
gen-3-103	0.055156	0.666667
gen-3-104	0.056362	0.384615
gen-3-105	0.033476	0.066667
gen-3-106	0.008156	0.000000
gen-3-107	0.068606	0.250000
gen-3-108	0.000056	0.250000
gen-3-109	0.070600	0.727273
gen-3-110	0.072400	0.222222
gen-3-111	0.021269	0.416667
gen-3-112	0.114406	0.250000
gen-3-113	0.176100	0.500000
gen-3-114	0.035180	0.444444
gen-3-115	0.070300	0.500000
gen-3-116	0.052316	0.736842
gen-3-117	0.025322	0.555556
gen-3-118	0.067622	0.555556
gen-3-119	0.179043	0.400000
gen-3-120	0.094000	0.666667
gen-3-121	0.038682	0.636364
gen-3-122	0.030233	0.666667
gen-3-123	0.066250	0.550000
gen-3-124	0.054600	0.666667
gen-3-125	0.034167	0.666667
gen-3-126	0.064427	0.636364
gen-3-127	0.000157	0.285714
gen-3-128	0.070665	0.800000
gen-3-129	0.013730	0.133333
gen-3-130	0.138673	0.200000
gen-3-131	0.073367	0.428571
gen-3-132	0.040469	0.444444
gen-3-133	0.058458	0.272727
gen-3-134	0.082211	0.333333
gen-3-135	0.067521	0.578947
gen-3-136	0.067456	0.777778
gen-3-137	0.000033	0.500000
gen-3-138	0.068056	0.307692
gen-3-139	0.050173	0.818182
gen-3-140	0.078872	0.450000
gen-3-141	0.030450	0.750000
gen-3-142	0.045539	0.368421
