Index	e_above_hull	formation_energy	Sn_fraction
06-139	0.020400	-0.146055	0.750000
06-140	0.089436	-0.266794	0.444444
06-141	0.049788	-0.355902	0.250000
06-142	0.044925	-0.329962	0.400000
06-143	0.027630	-0.238698	0.600000
06-144	0.000200	-0.405490	0.250000
06-145	0.051193	-0.338958	0.363636
06-146	0.026731	-0.181337	0.687500
06-147	0.049863	-0.355827	0.250000
06-148	0.046565	-0.219763	0.600000
06-149	0.044825	-0.330062	0.400000
06-150	0.034745	-0.198742	0.125000
06-151	0.062761	-0.289229	0.454545
06-152	0.019805	-0.355082	0.400000
06-153	0.002425	-0.400447	0.333333
06-154	0.049813	-0.355877	0.250000
06-155	0.037331	-0.318900	0.444444
06-156	0.000135	-0.355496	0.200000
06-157	0.014550	-0.318360	0.500000
06-158	0.049838	-0.355852	0.250000
06-159	0.030775	-0.372097	0.333333
06-160	0.000025	-0.332885	0.500000
06-161	0.049800	-0.355890	0.250000
06-162	0.045365	-0.329522	0.400000
06-163	0.022150	-0.289167	0.166667
06-164	0.053883	-0.300016	0.450000
06-165	0.027865	-0.327766	0.200000
06-166	0.049750	-0.355940	0.250000
06-167	0.036365	-0.319266	0.200000
06-168	0.037255	-0.229073	0.600000
06-169	0.024186	-0.261166	0.571429
06-170	0.033433	-0.188507	0.666667
06-171	0.079742	-0.323130	0.333333
06-172	0.057450	-0.348240	0.250000
06-173	0.041665	-0.333222	0.400000
06-174	0.044956	-0.176984	0.666667
06-175	0.049800	-0.355890	0.250000
06-176	0.048700	-0.284210	0.500000
06-177	0.034733	-0.198755	0.125000
06-178	0.003567	-0.399305	0.333333
06-179	0.003742	-0.399130	0.333333
06-180	0.021775	-0.144680	0.750000
06-181	0.243658	-0.159213	0.333333
06-182	0.000525	-0.332385	0.500000
06-183	0.000040	-0.332870	0.500000
06-184	0.026375	-0.306535	0.500000
06-185	0.031155	-0.168591	0.700000
06-186	0.000425	-0.405265	0.250000
06-187	0.023058	-0.198882	0.666667
06-188	0.014615	-0.341016	0.200000
06-189	0.026456	-0.264840	0.562500
06-190	0.057500	-0.348190	0.250000
06-191	0.252125	-0.150747	0.333333
06-192	0.021175	-0.145280	0.750000
06-193	0.026871	-0.341020	0.416667
06-194	0.000075	-0.332835	0.500000
06-195	0.020895	-0.353992	0.400000
06-196	0.016200	-0.295117	0.166667
06-197	0.008689	-0.322771	0.181818
06-198	0.037275	-0.337612	0.400000
06-199	0.028600	-0.248825	0.583333
08-0	0.000000	-0.405690	0.250000
08-1	0.032033	-0.189907	0.666667
08-2	0.057450	-0.348240	0.250000
08-3	0.024712	-0.349630	0.214286
08-4	0.043696	-0.319197	0.428571
08-5	0.038154	-0.329737	0.416667
08-6	0.061345	-0.350469	0.272727
08-7	0.047000	-0.063970	0.833333
08-8	0.057450	-0.348240	0.250000
08-9	0.030356	-0.355025	0.375000
08-10	0.060325	-0.286577	0.466667
08-11	0.034900	-0.131555	0.750000
08-12	0.030975	-0.202062	0.650000
08-13	0.023338	-0.372538	0.350000
08-14	0.026175	-0.379515	0.250000
08-15	0.037875	-0.295035	0.500000
08-16	0.000040	-0.332870	0.500000
08-17	0.025857	-0.259494	0.571429
08-18	0.057450	-0.348240	0.250000
08-19	0.045195	-0.130021	0.736842
08-20	0.026350	-0.306560	0.500000
08-21	0.040900	-0.181040	0.666667
08-22	0.045235	-0.329652	0.400000
08-23	0.049850	-0.355840	0.250000
08-24	0.129860	-0.136468	0.600000
08-25	0.043248	-0.352628	0.350000
08-26	0.021175	-0.145280	0.750000
08-27	0.046767	-0.356105	0.333333
08-28	0.008547	-0.394324	0.333333
08-29	0.002825	-0.400047	0.333333
08-30	0.038600	-0.294310	0.500000
08-31	0.031095	-0.202392	0.125000
08-32	0.048911	-0.283999	0.500000
08-33	0.041629	-0.243723	0.571429
08-34	0.054608	-0.348263	0.333333
08-35	0.008558	-0.394313	0.333333
08-36	0.070500	-0.335190	0.250000
08-37	0.048800	-0.217528	0.600000
08-38	0.058806	-0.200124	0.611111
08-39	0.049888	-0.355802	0.250000
08-40	0.001237	-0.331673	0.500000
08-41	0.021030	-0.245298	0.600000
08-42	0.016150	-0.295167	0.166667
08-43	0.030755	-0.202282	0.650000
08-44	0.020338	-0.146117	0.750000
08-45	0.048358	-0.354513	0.333333
08-46	0.037860	-0.228468	0.600000
08-47	0.041269	-0.291641	0.500000
08-48	0.088905	-0.285982	0.400000
08-49	0.037308	-0.318922	0.444444
08-50	0.000275	-0.355356	0.200000
08-51	0.032995	-0.375320	0.312500
08-52	0.016183	-0.295133	0.166667
08-53	0.054608	-0.348263	0.333333
08-54	0.054592	-0.348280	0.333333
08-55	0.016133	-0.295183	0.166667
08-56	0.026669	-0.306241	0.500000
08-57	0.036525	-0.185415	0.666667
08-58	0.037875	-0.128580	0.750000
08-59	0.031950	-0.245475	0.583333
08-60	0.043063	-0.342319	0.375000
08-61	0.073420	-0.059744	0.800000
08-62	0.025625	-0.224058	0.625000
08-63	0.021175	-0.145280	0.750000
08-64	0.057475	-0.348215	0.250000
08-65	0.013590	-0.253253	0.142857
08-66	0.043550	-0.331337	0.400000
08-67	0.049825	-0.355865	0.250000
08-68	0.031421	-0.336470	0.416667
08-69	0.000000	-0.332910	0.500000
08-70	0.113711	-0.108229	0.666667
08-71	0.027558	-0.249867	0.583333
08-72	0.000042	-0.332868	0.500000
08-73	0.089180	-0.262811	0.454545
08-74	0.049688	-0.356002	0.250000
08-75	0.025311	-0.337583	0.428571
08-76	0.016183	-0.295133	0.166667
08-77	0.020975	-0.256450	0.583333
08-78	0.012954	-0.253889	0.142857
08-79	0.060131	-0.296100	0.444444
08-80	0.069512	-0.298378	0.416667
08-81	0.000025	-0.332885	0.500000
08-82	0.016217	-0.295100	0.166667
08-83	0.059329	-0.273581	0.500000
08-84	0.027783	-0.249642	0.583333
08-85	0.000050	-0.332860	0.500000
