Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
gen-2-10	0.040584	-0.282305	0.500000	0.416667	0.083333
gen-2-11	0.010095	0.010095	0.000000	1.000000	0.000000
gen-2-12	0.074935	-0.214033	0.333333	0.333333	0.333333
gen-2-13	0.062312	-0.300023	0.500000	0.250000	0.250000
gen-2-14	0.014720	-0.340823	0.666667	0.111111	0.222222
gen-2-15	0.059006	-0.291495	0.500000	0.300000	0.200000
gen-2-16	0.042330	-0.300065	0.666667	0.166667	0.166667
gen-2-17	0.070287	-0.311771	0.500000	0.166667	0.333333
gen-2-18	0.024801	-0.301452	0.375000	0.125000	0.500000
gen-2-19	0.041796	-0.308488	0.666667	0.133333	0.200000
gen-2-20	0.060413	-0.321645	0.500000	0.166667	0.333333
gen-2-21	0.018993	-0.090604	0.111111	0.777778	0.111111
gen-2-22	0.064509	-0.308340	0.454545	0.181818	0.363636
gen-2-23	0.069588	-0.216169	0.333333	0.416667	0.250000
gen-2-24	0.028920	-0.303831	0.500000	0.375000	0.125000
gen-2-25	0.035631	-0.319913	0.666667	0.111111	0.222222
gen-2-26	0.059215	-0.171786	0.250000	0.250000	0.500000
gen-2-27	0.034364	-0.286229	0.666667	0.222222	0.111111
gen-2-28	0.119328	-0.243007	0.500000	0.250000	0.250000
gen-2-29	0.075540	-0.226954	0.375000	0.437500	0.187500
gen-2-30	0.064920	-0.332917	0.500000	0.100000	0.400000
gen-2-31	0.040514	-0.273948	0.400000	0.400000	0.200000
gen-2-32	0.130286	0.113523	0.000000	0.875000	0.125000
gen-2-33	0.028095	-0.334131	0.583333	0.166667	0.250000
gen-2-34	0.002373	-0.280448	0.600000	0.400000	0.000000
gen-2-35	0.047569	-0.294826	0.666667	0.166667	0.166667
gen-2-36	0.041334	-0.320936	0.550000	0.200000	0.250000
gen-2-37	0.052522	-0.299503	0.416667	0.250000	0.333333
gen-2-38	0.060530	-0.255796	0.363636	0.181818	0.454545
gen-2-39	0.059579	-0.314590	0.500000	0.200000	0.300000
gen-2-40	0.019259	-0.275243	0.333333	0.166667	0.500000
gen-2-41	0.113784	-0.248551	0.500000	0.250000	0.250000
gen-2-42	0.034765	-0.240772	0.363636	0.545455	0.090909
gen-2-43	0.048639	-0.313696	0.500000	0.250000	0.250000
gen-2-44	0.036219	-0.337820	0.600000	0.100000	0.300000
gen-2-45	0.041791	-0.313897	0.555556	0.222222	0.222222
gen-2-46	0.053761	-0.328225	0.555556	0.111111	0.333333
gen-2-47	0.038619	-0.316924	0.666667	0.111111	0.222222
gen-2-48	0.024391	-0.298389	0.583333	0.333333	0.083333
gen-2-49	0.097190	-0.324315	0.500000	0.000000	0.500000
gen-2-50	0.040071	-0.330624	0.571429	0.142857	0.285714
gen-2-51	0.043283	-0.281591	0.714286	0.142857	0.142857
gen-2-52	0.082282	-0.107829	0.200000	0.400000	0.400000
gen-2-53	0.069632	-0.268498	0.400000	0.300000	0.300000
gen-2-54	0.029356	-0.318106	0.562500	0.250000	0.187500
gen-2-55	0.053564	-0.243490	0.363636	0.454545	0.181818
gen-2-56	0.028971	-0.341630	0.642857	0.071429	0.285714
gen-2-57	0.017255	-0.321217	0.650000	0.200000	0.150000
gen-2-58	0.067526	-0.262291	0.454545	0.363636	0.181818
gen-2-59	0.051187	-0.266099	0.375000	0.375000	0.250000
gen-2-60	0.003045	-0.210022	0.250000	0.750000	0.000000
gen-2-61	0.014956	-0.321927	0.571429	0.285714	0.142857
gen-2-62	0.034264	-0.258592	0.416667	0.500000	0.083333
gen-2-63	0.039653	-0.203447	0.333333	0.666667	0.000000
gen-2-64	0.061845	-0.227123	0.333333	0.333333	0.333333
gen-2-65	0.027530	-0.268521	0.333333	0.111111	0.555556
gen-2-66	0.026332	-0.264462	0.400000	0.500000	0.100000
gen-2-67	0.011859	-0.341837	0.642857	0.142857	0.214286
gen-2-68	0.032510	-0.329695	0.600000	0.150000	0.250000
gen-2-69	0.043765	-0.268814	0.416667	0.416667	0.166667
gen-2-70	0.051235	-0.311100	0.500000	0.250000	0.250000
gen-2-71	0.051889	-0.257553	0.444444	0.444444	0.111111
gen-2-72	0.049071	-0.304718	0.571429	0.214286	0.214286
gen-2-73	0.060559	-0.228409	0.333333	0.333333	0.333333
gen-2-74	0.038005	-0.315691	0.642857	0.142857	0.214286
gen-2-75	0.041068	-0.314621	0.555556	0.222222	0.222222
gen-2-76	0.069435	-0.275611	0.428571	0.285714	0.285714
gen-2-77	0.022736	-0.332735	0.722222	0.055556	0.222222
