Index	e_above_hull	formation_energy	Sn_fraction
06-158	0.049838	-0.358990	0.250000
06-159	0.030775	-0.376280	0.333333
06-160	0.000025	-0.339160	0.500000
06-161	0.049800	-0.359027	0.250000
06-162	0.045365	-0.334542	0.400000
06-163	0.022150	-0.291258	0.166667
06-164	0.053883	-0.305663	0.450000
06-165	0.027865	-0.330276	0.200000
06-166	0.049750	-0.359078	0.250000
06-167	0.036365	-0.321776	0.200000
06-168	0.034745	-0.236603	0.600000
06-169	0.022393	-0.268337	0.571429
06-170	0.029250	-0.196873	0.666667
06-171	0.079742	-0.327313	0.333333
06-172	0.057450	-0.351377	0.250000
06-173	0.041665	-0.338242	0.400000
06-174	0.040772	-0.185351	0.666667
06-175	0.049800	-0.359027	0.250000
06-176	0.048700	-0.290485	0.500000
06-177	0.034733	-0.200324	0.125000
06-178	0.003567	-0.403488	0.333333
06-179	0.003742	-0.403313	0.333333
06-180	0.015500	-0.154093	0.750000
06-181	0.243658	-0.163397	0.333333
06-182	0.000525	-0.338660	0.500000
06-183	0.000040	-0.339145	0.500000
06-184	0.026375	-0.312810	0.500000
06-185	0.026135	-0.177376	0.700000
06-186	0.000425	-0.408402	0.250000
06-187	0.018875	-0.207248	0.666667
06-188	0.014615	-0.343526	0.200000
06-189	0.024888	-0.271899	0.562500
06-190	0.057500	-0.351328	0.250000
06-191	0.252125	-0.154930	0.333333
06-192	0.014900	-0.154693	0.750000
06-193	0.026871	-0.346249	0.416667
06-194	0.000075	-0.339110	0.500000
06-195	0.020895	-0.359012	0.400000
06-196	0.016200	-0.297208	0.166667
06-197	0.008689	-0.325053	0.181818
06-198	0.037275	-0.342632	0.400000
06-199	0.026508	-0.256146	0.583333
08-0	0.000000	-0.408828	0.250000
08-1	0.027850	-0.198273	0.666667
08-2	0.057450	-0.351377	0.250000
08-3	0.024712	-0.352319	0.214286
08-4	0.043696	-0.324576	0.428571
08-5	0.038154	-0.334966	0.416667
08-6	0.061345	-0.353892	0.272727
08-7	0.038633	-0.074428	0.833333
08-8	0.057450	-0.351377	0.250000
08-9	0.030356	-0.359731	0.375000
08-10	0.060325	-0.292434	0.466667
08-11	0.028625	-0.140968	0.750000
08-12	0.027210	-0.210220	0.650000
08-13	0.023338	-0.376930	0.350000
08-14	0.026175	-0.382652	0.250000
08-15	0.037875	-0.301310	0.500000
08-16	0.000040	-0.339145	0.500000
08-17	0.024064	-0.266666	0.571429
08-18	0.057450	-0.351377	0.250000
08-19	0.039250	-0.139268	0.736842
08-20	0.026350	-0.312835	0.500000
08-21	0.036717	-0.189407	0.666667
08-22	0.045235	-0.334672	0.400000
08-23	0.049850	-0.358977	0.250000
08-24	0.127350	-0.143998	0.600000
08-25	0.043248	-0.357020	0.350000
08-26	0.014900	-0.154693	0.750000
08-27	0.046767	-0.360288	0.333333
08-28	0.008547	-0.398508	0.333333
08-29	0.002825	-0.404230	0.333333
08-30	0.038600	-0.300585	0.500000
08-31	0.031095	-0.203961	0.125000
08-32	0.048911	-0.290274	0.500000
08-33	0.039836	-0.250894	0.571429
08-34	0.054608	-0.352447	0.333333
08-35	0.008558	-0.398497	0.333333
08-36	0.070500	-0.338328	0.250000
08-37	0.046290	-0.225058	0.600000
08-38	0.056017	-0.207794	0.611111
08-39	0.049888	-0.358940	0.250000
08-40	0.001237	-0.337947	0.500000
08-41	0.018520	-0.252828	0.600000
08-42	0.016150	-0.297258	0.166667
08-43	0.026990	-0.210440	0.650000
08-44	0.014063	-0.155530	0.750000
08-45	0.048358	-0.358697	0.333333
08-46	0.035350	-0.235998	0.600000
08-47	0.041269	-0.297916	0.500000
08-48	0.088905	-0.291002	0.400000
08-49	0.037308	-0.324500	0.444444
08-50	0.000275	-0.357866	0.200000
08-51	0.032995	-0.379242	0.312500
08-52	0.016183	-0.297225	0.166667
08-53	0.054608	-0.352447	0.333333
08-54	0.054592	-0.352463	0.333333
08-55	0.016133	-0.297275	0.166667
08-56	0.026669	-0.312516	0.500000
08-57	0.032342	-0.193782	0.666667
08-58	0.031600	-0.137993	0.750000
08-59	0.029858	-0.252796	0.583333
08-60	0.043063	-0.347025	0.375000
08-61	0.065890	-0.069784	0.800000
08-62	0.022487	-0.231901	0.625000
08-63	0.014900	-0.154693	0.750000
08-64	0.057475	-0.351352	0.250000
08-65	0.013590	-0.255046	0.142857
08-66	0.043550	-0.336357	0.400000
08-67	0.049825	-0.359002	0.250000
08-68	0.031421	-0.341699	0.416667
08-69	0.000000	-0.339185	0.500000
08-70	0.109528	-0.116596	0.666667
08-71	0.025467	-0.257187	0.583333
08-72	0.000042	-0.339143	0.500000
08-73	0.089180	-0.268515	0.454545
08-74	0.049688	-0.359140	0.250000
08-75	0.025311	-0.342961	0.428571
08-76	0.016183	-0.297225	0.166667
08-77	0.018883	-0.263771	0.583333
08-78	0.012954	-0.255681	0.142857
08-79	0.060131	-0.301678	0.444444
08-80	0.069512	-0.303608	0.416667
08-81	0.000025	-0.339160	0.500000
08-82	0.016217	-0.297192	0.166667
08-83	0.059329	-0.279856	0.500000
08-84	0.025692	-0.256963	0.583333
08-85	0.000050	-0.339135	0.500000
08-86	0.034733	-0.200324	0.125000
08-87	0.028375	-0.226014	0.625000
08-88	0.075000	-0.264185	0.500000
08-89	0.000000	-0.408828	0.250000
08-90	0.015025	-0.324160	0.500000
08-91	0.049863	-0.358965	0.250000
08-92	0.049800	-0.359027	0.250000
08-93	0.027833	-0.198290	0.666667
08-94	0.100110	-0.035564	0.800000
08-95	0.153177	-0.262169	0.300000
08-96	0.015475	-0.154118	0.750000
08-97	0.140714	-0.266341	0.333333
08-98	0.026050	-0.313135	0.500000
08-99	0.039380	-0.198050	0.650000
08-100	0.058025	-0.310247	0.428571
08-101	0.008636	-0.398419	0.333333
08-102	0.038852	-0.313907	0.466667
08-103	0.028675	-0.253979	0.583333
08-104	0.019130	-0.184381	0.700000
08-105	0.020655	-0.359252	0.400000
08-106	0.015475	-0.154118	0.750000
08-107	0.037108	-0.324700	0.444444
08-108	0.065672	-0.160451	0.666667
08-109	0.029260	-0.242088	0.600000
08-110	0.060048	-0.298093	0.200000
08-111	0.000925	-0.338260	0.500000
08-112	0.081025	-0.215762	0.562500
08-113	0.018842	-0.207282	0.666667
08-114	0.033458	-0.373597	0.333333
08-115	0.046512	-0.362315	0.250000
08-116	0.026350	-0.312835	0.500000
08-117	0.016183	-0.297225	0.166667
08-118	0.054592	-0.352463	0.333333
08-119	0.048781	-0.358274	0.333333
08-120	0.070373	-0.344865	0.272727
08-121	0.034781	-0.355306	0.375000
08-122	0.014900	-0.154693	0.750000
08-123	0.049514	-0.343252	0.368421
08-124	0.014900	-0.154693	0.750000
08-125	0.092917	-0.315911	0.250000
08-126	0.030485	-0.349422	0.400000
08-127	0.029606	-0.360481	0.375000
08-128	0.001075	-0.338110	0.500000
08-129	0.057500	-0.351328	0.250000
08-130	0.092635	-0.287272	0.400000
08-131	0.048358	-0.358697	0.333333
08-132	0.035100	-0.236248	0.600000
08-133	0.045025	-0.334882	0.400000
08-134	0.037735	-0.342172	0.400000
08-135	0.056461	-0.207349	0.611111
08-136	0.052933	-0.354122	0.333333
08-137	0.001958	-0.405097	0.333333
08-138	0.025060	-0.314125	0.500000
08-139	0.000025	-0.339160	0.500000
08-140	0.000025	-0.339160	0.500000
08-141	0.019045	-0.184466	0.700000
08-142	0.034733	-0.200324	0.125000
08-143	0.016183	-0.297225	0.166667
08-144	0.005175	-0.401880	0.333333
08-145	0.000000	-0.408828	0.250000
08-146	0.071033	-0.329235	0.350000
08-147	0.110350	-0.059243	0.750000
08-148	0.002981	-0.404074	0.333333
08-149	0.000025	-0.339160	0.500000
08-150	0.000275	-0.408552	0.250000
08-151	0.016997	-0.398349	0.300000
08-152	0.028167	-0.378888	0.333333
08-153	0.049788	-0.359040	0.250000
08-154	0.057475	-0.351352	0.250000
08-155	0.022145	-0.181366	0.700000
08-156	0.026350	-0.312835	0.500000
08-157	0.035372	-0.153064	0.722222
08-158	0.038353	-0.375175	0.266667
08-159	0.048763	-0.351505	0.350000
08-160	0.105600	-0.165748	0.600000
08-161	0.026516	-0.182423	0.111111
08-162	0.030966	-0.363749	0.363636
08-163	0.014900	-0.154693	0.750000
08-164	0.014615	-0.343526	0.200000
08-165	0.040783	-0.298402	0.500000
08-166	0.018650	-0.207473	0.666667
08-167	0.016167	-0.297242	0.166667
08-168	0.033890	-0.237458	0.600000
08-169	0.037978	-0.263520	0.555556
08-170	0.048075	-0.358980	0.333333
08-171	0.050008	-0.357047	0.333333
08-172	0.049838	-0.358990	0.250000
08-173	0.034135	-0.324006	0.200000
08-174	0.015500	-0.154093	0.750000
08-175	0.020795	-0.359112	0.400000
08-176	0.044694	-0.256803	0.555556
08-177	0.057450	-0.351377	0.250000
08-178	0.014900	-0.154693	0.750000
08-179	0.059667	-0.349161	0.250000
08-180	0.000056	-0.387471	0.222222
08-181	0.000275	-0.408552	0.250000
08-182	0.001013	-0.407815	0.250000
08-183	0.000025	-0.339160	0.500000
08-184	0.067870	-0.203478	0.600000
08-185	0.031554	-0.336719	0.428571
08-186	0.049800	-0.359027	0.250000
08-187	0.014900	-0.154693	0.750000
08-188	0.026516	-0.182423	0.111111
08-189	0.049877	-0.365469	0.300000
08-190	0.028650	-0.351257	0.400000
08-191	0.000025	-0.339160	0.500000
08-192	0.017247	-0.398099	0.300000
08-193	0.017850	-0.389205	0.333333
08-194	0.095779	-0.323121	0.285714
08-195	0.063342	-0.343713	0.333333
08-196	0.028075	-0.226314	0.625000
08-197	0.050294	-0.339794	0.375000
08-198	0.057475	-0.351352	0.250000
08-199	0.001892	-0.405163	0.333333
03-0	0.026375	-0.312810	0.500000
03-1	0.000025	-0.408803	0.250000
03-2	0.000056	-0.387471	0.222222
03-3	0.047069	-0.207320	0.625000
03-4	0.025070	-0.314115	0.500000
03-5	0.008425	-0.325316	0.181818
03-6	0.037255	-0.342652	0.400000
03-7	0.018742	-0.207382	0.666667
03-8	0.026527	-0.182412	0.111111
03-9	0.057475	-0.351352	0.250000
03-10	0.057450	-0.351377	0.250000
03-11	0.000195	-0.357946	0.200000
03-12	0.015687	-0.153905	0.750000
03-13	0.064050	-0.344777	0.250000
03-14	0.028950	-0.140643	0.750000
03-15	0.020795	-0.359112	0.400000
03-16	0.030397	-0.334239	0.437500
03-17	0.031645	-0.348262	0.400000
03-18	0.014900	-0.154693	0.750000
03-19	0.047567	-0.307280	0.461538
03-20	0.112073	-0.303165	0.272727
03-21	0.027339	-0.367376	0.363636
03-22	0.071975	-0.097618	0.750000
03-23	0.068970	-0.247603	0.533333
03-24	0.001275	-0.337910	0.500000
03-25	0.055411	-0.312861	0.428571
03-26	0.000020	-0.339165	0.500000
03-27	0.057475	-0.351352	0.250000
03-28	0.029443	-0.221284	0.133333
03-29	0.097056	-0.319606	0.277778
03-30	0.038575	-0.300610	0.500000
03-31	0.000000	-0.339185	0.500000
03-32	0.017637	-0.355482	0.416667
03-33	0.064880	-0.138631	0.700000
03-34	0.076492	-0.206163	0.583333
03-35	0.059512	-0.194876	0.625000
03-36	0.000175	-0.357966	0.200000
03-37	0.032544	-0.137049	0.750000
03-38	0.022183	-0.291225	0.166667
03-39	0.014515	-0.343626	0.200000
03-40	0.064175	-0.105418	0.750000
03-41	0.000008	-0.407047	0.333333
03-42	0.038475	-0.300710	0.500000
03-43	0.000215	-0.357926	0.200000
03-44	0.030485	-0.349422	0.400000
03-45	0.014900	-0.154693	0.750000
03-46	0.014900	-0.154693	0.750000
03-47	0.022747	-0.392599	0.300000
03-48	0.041814	-0.204866	0.636364
03-49	0.093078	-0.294449	0.222222
03-50	0.047913	-0.360915	0.250000
03-51	0.057500	-0.351328	0.250000
03-52	0.000000	-0.408828	0.250000
03-53	0.016867	-0.398479	0.300000
03-54	0.019890	-0.251458	0.600000
03-55	0.057450	-0.351377	0.250000
03-56	0.030605	-0.349302	0.400000
03-57	0.026083	-0.256571	0.583333
03-58	0.000125	-0.408702	0.250000
03-59	0.027750	-0.379305	0.333333
03-60	0.071009	-0.344228	0.272727
03-61	0.049875	-0.358953	0.250000
03-62	0.064234	-0.293461	0.454545
03-63	0.044800	-0.368728	0.266667
03-64	0.050306	-0.288879	0.500000
03-65	0.002792	-0.404263	0.333333
03-66	0.049800	-0.359027	0.250000
03-67	0.053619	-0.355209	0.250000
03-68	0.079320	-0.056354	0.800000
03-69	0.029795	-0.155215	0.727273
03-70	0.038450	-0.300735	0.500000
03-71	0.026527	-0.182412	0.111111
03-72	0.125740	-0.145608	0.600000
03-73	0.071628	-0.287918	0.450000
03-74	0.038325	-0.300860	0.500000
03-75	0.000313	-0.408515	0.250000
03-76	0.025482	-0.342790	0.428571
03-77	0.110186	-0.308714	0.285714
03-78	0.057475	-0.351352	0.250000
03-79	0.045150	-0.105599	0.777778
03-80	0.000155	-0.357986	0.200000
03-81	0.000000	-0.408828	0.250000
03-82	0.096578	-0.167233	0.611111
03-83	0.042275	-0.296910	0.500000
03-84	0.016200	-0.209923	0.666667
03-85	0.025544	-0.228845	0.625000
03-86	0.027806	-0.236005	0.611111
03-87	0.036380	-0.234968	0.600000
03-88	0.000000	-0.408828	0.250000
03-89	0.049807	-0.365539	0.300000
03-90	0.074050	-0.152073	0.666667
03-91	0.057450	-0.351377	0.250000
03-92	0.051350	-0.287835	0.500000
03-93	0.000250	-0.408577	0.250000
