Index	e_above_hull	Sn_fraction
gen-2-74	0.048550	1.000000
gen-2-75	0.017268	0.125000
gen-2-76	0.036963	1.000000
gen-2-77	0.000075	0.500000
gen-2-78	0.000071	0.500000
gen-2-79	0.028640	0.600000
gen-2-80	0.036917	0.375000
gen-2-81	0.048733	1.000000
gen-2-82	0.010189	0.333333
gen-2-83	0.017323	0.250000
gen-2-84	0.041383	1.000000
gen-2-85	0.048550	1.000000
gen-2-86	0.040382	1.000000
gen-2-87	0.038293	0.125000
gen-2-88	0.032717	0.200000
gen-2-89	0.048575	1.000000
gen-2-90	0.033942	0.375000
gen-2-91	0.049125	1.000000
gen-2-92	0.010133	0.333333
gen-2-93	0.051083	1.000000
gen-2-94	0.018194	0.333333
gen-2-95	0.035320	0.600000
gen-2-96	0.048508	1.000000
gen-2-97	0.043020	0.600000
gen-2-98	0.049255	1.000000
gen-2-99	0.012333	0.333333
gen-2-100	0.007156	0.000000
gen-2-101	0.029060	1.000000
gen-2-102	0.039471	0.571429
gen-2-103	0.039075	1.000000
gen-2-104	0.024643	0.400000
gen-2-105	0.048688	1.000000
gen-2-106	0.010455	0.166667
gen-2-107	0.048575	1.000000
gen-2-108	0.023956	0.666667
gen-2-109	0.017272	0.200000
gen-2-110	0.039925	0.583333
gen-2-111	0.029042	1.000000
gen-2-112	0.075320	1.000000
gen-2-113	0.000043	0.500000
gen-2-114	0.024594	0.687500
gen-2-115	0.056470	1.000000
gen-2-116	0.008156	0.000000
gen-2-117	0.038475	1.000000
gen-2-118	0.039300	1.000000
gen-2-119	0.000050	0.250000
gen-2-120	0.049178	1.000000
gen-2-121	0.000150	1.000000
gen-2-122	0.034706	0.333333
gen-2-123	0.000200	0.222222
gen-2-124	0.000006	0.250000
gen-2-125	0.038544	0.500000
gen-2-126	0.013019	0.750000
gen-2-127	0.035500	0.583333
gen-2-128	0.000000	1.000000
gen-2-129	0.028967	1.000000
gen-2-130	0.049278	1.000000
gen-2-131	0.048806	1.000000
gen-2-132	0.028154	0.375000
gen-2-133	0.023617	0.666667
gen-2-134	0.056186	1.000000
gen-2-135	0.021367	0.533333
gen-2-136	0.052880	1.000000
gen-2-137	0.001777	0.200000
gen-2-138	0.034347	0.400000
gen-2-139	0.054661	1.000000
gen-2-140	0.027405	0.350000
gen-2-141	0.034233	0.666667
gen-2-142	0.000157	0.285714
gen-2-143	0.051789	1.000000
gen-2-144	0.012792	0.200000
gen-2-145	0.048121	1.000000
gen-2-146	0.029014	1.000000
gen-2-147	0.040583	1.000000
gen-2-148	0.018667	0.333333
gen-2-149	0.024675	0.666667
gen-2-150	0.029400	0.600000
gen-2-151	0.009300	0.500000
gen-2-152	0.007389	0.333333
gen-2-153	0.040350	1.000000
gen-2-154	0.035260	0.600000
gen-2-155	0.024242	0.583333
gen-2-156	0.041229	1.000000
gen-2-157	0.031247	0.400000
gen-2-158	0.061275	1.000000
